Target,Model,Train_R2,Train_MAE,Train_RMSE,CV_R2,CV_MAE,CV_RMSE,Test_R2,Test_MAE,Test_RMSE
Gold,Cumulative,0.8453820946224402,0.7192702448500485,2.1969471744113194,0.6482539715812828,1.0861658447615548,3.4751929666474806,0.7786932697231544,0.8900394837861959,2.336089898553657
Gold,Ema,0.9089853232526949,0.42551354438385325,1.6855647375552625,0.837186023218619,0.644556477359784,2.5040900215279858,0.929615358347201,0.4485750975916587,1.317441053401056
Gold,Hybrid,0.9193181340934886,0.36333417857474387,1.5870027831821427,0.8651190622694525,0.6052408697460447,2.296102564296877,0.9477819961204853,0.40433743134982064,1.1347557021102903
Total,Cumulative,0.8976511843831823,1.5539131052828896,4.636559541732705,0.719009472886154,2.6117404220242157,8.129609336965308,0.8715571700810459,1.7461478965557717,5.101352560787195
Total,Ema,0.9356862138891072,0.9200727582851759,3.6754157248465003,0.8575999725893377,1.5049861525916266,6.067472392954562,0.9787266341031158,0.7320480660237745,2.076101161217457
Total,Hybrid,0.9390514786563507,0.8218529349381971,3.577964419513571,0.8746153207687859,1.4287382931748218,5.777720798522558,0.9793261287103867,0.7034941145969527,2.0466393055594327
