Team,PredictedGold2028,PredictedTotal2028,Gold_lower95,Gold_upper95,Total_lower95,Total_upper95,ActualGold2024,ActualTotal2024,DeltaGold,DeltaTotal
SGP,0.6010610196310298,2.333102566792078,-6.39893898036897,7.60106101963103,-12.666897433207922,17.33310256679208,0.0,1.0,0.6010610196310298,1.333102566792078
CIV,0.6000519507989617,1.8889825397120228,-6.399948049201038,7.600051950798962,-13.111017460287977,16.88898253971202,0.0,1.0,0.6000519507989617,0.8889825397120228
PHI,0.5875142816012894,4.081715723462932,-6.4124857183987105,7.5875142816012895,-10.918284276537069,19.08171572346293,2.0,4.0,-1.4124857183987105,0.08171572346293221
GUA,0.5820606328136635,1.6374258977225264,-6.417939367186337,7.582060632813663,-13.362574102277474,16.637425897722526,1.0,2.0,-0.4179393671863365,-0.36257410227747355
MGL,0.5811956334642296,4.655827948432566,-6.41880436653577,7.58119563346423,-10.344172051567433,19.655827948432567,0.0,1.0,0.5811956334642296,3.6558279484325658
BOT,0.5783701202346941,1.6976990241902783,-6.421629879765306,7.578370120234694,-13.302300975809722,16.69769902419028,1.0,2.0,-0.42162987976530586,-0.3023009758097217
TJK,0.5783701202346941,2.363199064989503,-6.421629879765306,7.578370120234694,-12.636800935010497,17.3631990649895,0.0,3.0,0.5783701202346941,-0.6368009350104971
NGR,0.5319475000478427,2.0998139308198756,-6.468052499952157,7.531947500047843,-12.900186069180124,17.099813930819877,0.0,0.0,0.5319475000478427,2.0998139308198756
KOS,0.4377576112953204,1.5512061774089525,-6.5622423887046795,7.4377576112953205,-13.448793822591048,16.551206177408954,0.0,2.0,0.4377576112953204,-0.4487938225910475
PAN,0.3412434067646519,1.5081748700357689,-6.658756593235348,7.341243406764652,-13.491825129964232,16.50817487003577,0.0,1.0,0.3412434067646519,0.5081748700357689
PAK,0.3196585931338653,2.4438826107087888,-6.680341406866135,7.319658593133865,-12.556117389291211,17.44388261070879,1.0,1.0,-0.6803414068661346,1.4438826107087888
KGZ,0.2632263598911358,2.590198428428075,-6.736773640108864,7.263226359891136,-12.409801571571926,17.590198428428074,0.0,6.0,0.2632263598911358,-3.409801571571925
TTO,0.23687302569927518,0.11856193900140889,-6.763126974300725,7.236873025699275,-14.88143806099859,15.11856193900141,0.0,0.0,0.23687302569927518,0.11856193900140889
GRN,0.22920950972897847,1.4081612892124176,-6.770790490271022,7.229209509728978,-13.591838710787583,16.40816128921242,0.0,2.0,0.22920950972897847,-0.5918387107875824
